Артгалерея,Тип інституції,Статус,Адреса,Вебсайт / Соцмережі,Рік заснування,Спеціалізація
Promotion Gallery,галерея,діюча,"
online (Edinburgh,
United Kingdom)",https://promotion.gallery/pages/about-us; https://www.instagram.com/promotion.gallery/,2017,сучаснe українськe та міжнародне мистецтво
Forsa Gallery,галерея,діюча,Kyiv & London,https://www.artsy.net/partner/forsa-gallery; https://www.instagram.com/forsagallery/,2019,сучаснe українськe мистецтво
Galerie Les Noms,галерея,діюча,"47 Sai street, Hong Kong, Hong Kong (& Kyiv)",http://glesnoms.com; https://www.facebook.com/glesnoms,2014,сучаснe українськe мистецтво ХХ-ХХІ ст.
G.ART Gallery,галерея,діюча,"online (Rungestrasse, Berlin, Germany)",https://www.instagram.com/gart.gallery.23?igsh=dTUxdXVxM2JoejRw; https://www.facebook.com/gart.gallery.23; https://www.linkedin.com/company/g-art-gallery-23/about/,2019,сучасне мистецтво 23 країн Східної Європи
G-Gallery,галерея,діюча,"404 Broadway, New York",https://www.instagram.com/ggallery.nyc/,2021,сучасне мистецтво
Julia Ilkiv & Co. Art Gallery,галерея,діюча,"Elzaspassage 35, Helmond, Netherlands",https://www.facebook.com/JuliaIlkivCoArtGallery,2022,сучаснe українськe мистецтво
KUMF Gallery,галерея,діюча,"145 Evans Ave. Suite 101
Toronto, ON M8Z 5X8",https://kumfgallery.com/; https://www.facebook.com/ukrainiancanadianartgallery/,1975,"emerging, mid-career and established visual artists"
KyivGallery,галерея,діюча,"online, MB Techmenas, Perkunkiemio street, 13-91, Vilnius, Lithuania, LT-12114",https://kyiv.gallery/; https://www.instagram.com/kievgallery; https://www.facebook.com/kievgallery,2007,сучаснe українськe мистецтво
Lane Gallery London,галерея,діюча,"London, First-floor, 12 St George Street, W1S 2FB",https://www.instagram.com/lanegallerylondon/,2023,сучаснe українськe мистецтво 
Lysenko Gallery,галерея,діюча,"4 Cromwell Place, London SW7 2JE",https://nathalielysenko.com/; https://www.artsy.net/partner/lysenko; https://www.lysenko.gallery/,"2005 (Дубай), 2019 (Лондон)",сучаснe українськe мистецтво 
Mriya Gallery,галерея,діюча,"101 Reade St, New York, New York 10013",https://www.instagram.com/mriya.gallery; https://mriya.nyc/; https://www.facebook.com/profile.php?id=100095102786148&mibextid=LQQJ4d,2023,сучаснe українськe мистецтво
N2N Gallery,галерея,діюча,"Podium 2, Avenue at Etihad Towers, Abu Dhabi, UAE",https://n2nartgallery.com/; https://www.facebook.com/N2NGallery,2013,European Academic School of Painting
Roman Sviridov Gallery,галерея,діюча,"2 Chepstow Villas 2, London, United Kingdom, W11 2RB",https://www.facebook.com/romansviridovgallery; https://www.artsy.net/partner/roman-sviridov; https://www.instagram.com/romansviridovgallery/,2016,сучаснe українськe та міжнародне мистецтво
Rukh Art Hub,галерея ,діюча,"New York, NY, United States (поп-ап, співпраця з Mriya Gallery)",https://www.rukharthub.com/; instagram.com/rukharthub,2023,сучаснe українськe та міжнародне мистецтво
Savchenko Gallery,галерея,діюча,"Al. Grunwaldzka,
nr. 504,80-309, Gdańsk, Polska",https://savchenkogallery.com/; https://www.facebook.com/savchenkogallery; https://www.instagram.com/savchenkogallery/,2019,сучаснe українськe мистецтво
Serpen' Gallery,галерея,діюча,"Berlin, Auguststrasse 83,
10117, Germany",https://www.serpen.gallery; https://www.instagram.com/serpen.artstore/,2022,сучаснe українськe мистецтво
Smalta Art Gallery,галерея,діюча,"61000 Myronosytska 47, Kharkiv, Ukraine
84107 Bratislava, Slovakia",https://www.instagram.com/smalta.artgallery/; https://smalta.gallery/,,сучасне українське мистецтво
Snisarenko Gallery ,галерея,діюча,"458 N Doheny Dr, #69295
West Hollywood, CA 90048
United States",https://artaxcess.com/lia-snisarenko/; https://www.artsy.net/partner/snisarenko-gallery,2023,сучаснe українськe мистецтво
Test Gallery,галерея,діюча,"Milans, 3, Barcelona, Spain 08002",https://testgallery.com/; https://www.instagram.com/testgallery_bcn; https://www.facebook.com/testgallerybcn,2022,сучаснe українськe мистецтво
TOYS Gallery,галерея,діюча,"Київ, Венеція; Campo San Maurizio, 2674, Venice, Italy",https://www.artsy.net/partner/toys-gallery; https://www.instagram.com/toys.gallery/,2022,"сучаснe українськe та міжнародне мистецтво (колекційні іграшки, предмети мистецтва та дизайну)"
Tsekh Gallery ,галерея,частково діюча,"Kyiv & Vilnius; 6, Vytenio Str.
Vilnius, Lithuania, LT-03113",http://tsekh.com.ua/?page_uid=1468057470&page_lang_id=2; https://www.facebook.com/pages/Tsekh-Gallery-Vilnius/305495669785340/,2016,сучаснe українськe та міжнародне мистецтво
Velychko Gallery,галерея,діюча,"Ermou 7, 1 floor, 8046 Paphos, Cyprus",https://velychko.gallery/; https://www.instagram.com/velychko.gallery/; https://www.artsy.net/partner/velychko-dot-gallery,2022,сучаснe українськe та міжнародне мистецтво
Voloshyn Gallery,галерея,діюча,"802 NW 22nd Street

Miami, FL, US, 33127",https://voloshyngallery.art/,2023,сучаснe українськe та міжнародне мистецтво
Zorya Fine Art ,галерея,діюча,"P.O. Box 185
Greenwich, Connecticut 06836, USA",https://www.zoryafineart.com/,2003,"мистецтво ХХ ст., сучасне українське мистецтво"
