slug,monitoring_url,source_type,last_scraped_hash
syur-kyyiv,,,
tsehlynaart,,,
tssm-soviart,,,
zenyk-art-gallery-zag,,,
arthalereya-banderol,,,
arthalereya-madam-palmhren,,,
art-salon-veles,,,
arttsentr-dzyga,,,
tsentr-intelektualnoho-mystetstva-merkuriy,,,
mystetskyy-prostir-armigera-art,,,
iconart,,,
hofa-gallery-home-of-arts-lviv-lvivskyy-dim-mystetstv,,,
detenpyla-gallery,,,
shcherbenko-art-tsentr,,,
tovarystvo,,,
mystetskyy-prostir-inshyy-kut,,,
dim-zvuku-radioharazh,,,
mystetska-halereya-yuna,,,
kavyarnya-halereya-shtuka,,,
arttsentr-ya-halereya-pentkhaus,,,
zelena-kanapa,,,
arttsentr-ya-halereya-lviv,,,
sztuka-gallery,,,
berliner-strasse-gallery,,,
svitlo-gallery,,,
31artspace,,,
sth-gallery,,,
shum-art-gallery,,,
pm-gallery,,,
people-place-bar,,,
modul-tymchasovosti-mot,,,
jam-factory-art-center,,,
intellias-art-point,,,
tvorche-nezhyt,,,
artdom-ua,,,
hareleya-neotodresh,,,
uart-gallery,,,
steinbarg-gallery-cafe,,,
ho-tssm-bunker,,,
sklad-n5-gallery,,,
halereya-brama,,,
art-tsentr-maslo,,,
ho-tsentr-kulturnoho-rozvytku-totem,,,
smalta-art-gallery,https://www.instagram.com/smalta.artgallery/,instagram,
79-kut,,,
harazh-127,,,
tssm-yermilovtsentr-yermilov-centre,,,
voyt-art-gallery,,,
neformalna-halereya-korydor,,,
kreatyvnyy-klaster-na-poshti,,,
bureauart-ho-artdvir-na-voskresenskiy,,,
artprostir-pogrib,,,
art-prostir-na-teatralniy,,,
halereya-nasha,,,
halereya-yevropeyskoho-zhyvopysu-yevro-art,,,
jump-contemporary-art-center,,,
halereya-suchasnoho-mystetstva-art-prostir,,,
maritime-art-gallery-morska-khudozhnya-halereya-teper-binovska-gallery,,,
nesterenkogallery,,,
halereya-muza,,,
halereya-vikno,,,
halereya-artodessa-litnoho-teatru-miskoho-sadu,,,
halereya-dim-khudozhnykiv,,,
halereya-stiykosti,,,
kulturnyy-tsentr-halereya-union-httpswwwinstagramcomfreedomartua,,,
myph,,,
halereya-8-prychal,,,
platforma-my-art,,,
art-halereya-obraz,,,
mysternia-gallery,,,
zenko-gallery-art-space,,,
asortymentna-kimnata,,,
halereya-ramarnya-tsmok,,,
pidzemnyy-perekhid-vagabundo,,,
fortechna-halereya-bastion,,,
halereya-art-l,,,
gnatyuk-art-center,,,
artcraftoil,,,
halereya-artsvit-v-stinakh-dccc,,,
